,market_hash_name,avg_index_share,std_index_share,quantity
107,ESL One Cologne 2014 Legends,0.0018243903256580203,5.440341332933742e-05,288
108,Elite Trapper Solman | Guerrilla Warfare,0.0003446215515164763,3.679522815547082e-05,433
109,FAMAS | Commemoration (Factory New),0.0004643471080438596,3.0917344653982636e-05,213
110,FAMAS | Commemoration (Field-Tested),0.0002862842692076788,1.5826592583586846e-05,235
111,FAMAS | Commemoration (Minimal Wear),0.00026742159252526524,1.0418831495874935e-05,182
112,FAMAS | Eye of Athena (Factory New),0.00015312746018967524,9.833726417607631e-06,130
113,FAMAS | Meltdown (Factory New),0.0002418550590663463,7.039422179450067e-05,134
114,FAMAS | Roll Cage (Factory New),0.00021383689652015858,1.4723115044977459e-05,120
115,Five-SeveN | Berries And Cherries (Factory New),0.0009636597195100149,6.676924575257627e-05,307
116,Five-SeveN | Case Hardened (Factory New),0.0004359359651759334,2.2679722518991892e-05,249
117,Five-SeveN | Case Hardened (Field-Tested),0.00032430860380426807,1.245010812182828e-05,431
118,Five-SeveN | Case Hardened (Minimal Wear),0.0003998225270492594,1.564670746933764e-05,403
119,Five-SeveN | Case Hardened (Well-Worn),0.00017169267472386945,1.1716684543319408e-05,254
120,Five-SeveN | Fairy Tale (Field-Tested),0.0003692357553041365,2.1340718557835373e-05,272
121,Five-SeveN | Fairy Tale (Minimal Wear),0.00022827757801529541,1.3476061348921026e-05,113
122,Galil AR | Cerberus (Field-Tested),0.0002781656054269178,1.3139900779695455e-05,211
123,Galil AR | Phoenix Blacklight (Factory New),0.0003827557959991745,1.0543794871840444e-05,106
124,Getaway Sally | The Professionals,0.0004385998443263816,6.018233372967804e-05,163
125,Glock-18 | Bullet Queen (Factory New),0.0009550077212768,5.207636238347281e-05,167
126,Glock-18 | Dragon Tattoo (Factory New),0.002244026816717611,0.00012538088971048817,298
127,Glock-18 | Fade (Factory New),0.01780629179314732,0.0005959965281814963,144
128,Glock-18 | Franklin (Factory New),0.0005343158743900417,1.7490327862368463e-05,172
129,Glock-18 | Gamma Doppler (Factory New),0.0014995511035757359,9.530611778202651e-05,793
130,Glock-18 | Gamma Doppler (Field-Tested),0.0005527636805392983,2.911942651078916e-05,438
131,Glock-18 | Gamma Doppler (Minimal Wear),0.0008801674704097859,3.7423183836891494e-05,588
132,Glock-18 | Neo-Noir (Minimal Wear),0.00026092302340486624,1.228371029862834e-05,141
133,Glock-18 | Nuclear Garden (Factory New),0.0002151564776265205,8.948040889753097e-06,207
134,Glock-18 | Reactor (Factory New),0.00014400896658581296,6.041261382050317e-06,141
135,Glock-18 | Twilight Galaxy (Factory New),0.0008173713674620192,3.547820542582501e-05,113
136,Glock-18 | Water Elemental (Factory New),0.0004188493659038534,1.9868154736420146e-05,378
137,Howl Pin,0.0009437767730577307,2.5044181151540453e-05,136
138,Katowice 2019 Minor Challengers (Holo-Foil),0.0002841948981852019,2.3435950113148667e-05,465
139,Katowice 2019 Overpass Souvenir Package,0.00019400145918893315,3.643172757390954e-05,169
140,Krakow 2017 Challengers Autograph Capsule,0.002207760166688589,0.0004008629709358867,324
