,id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
0,17902,4146,Binance Wrapped DOT,BDOT,binance-wrapped-dot,1,2022-02-07T07:50:00.000Z,2023-06-26T12:25:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x7884f51dc1410387371ce61747cb6264e1daee0b
0,17909,8269,Cronosphere,SPHERE,cronosphere,1,2022-03-21T10:40:00.000Z,2023-06-26T12:25:00.000Z,,3635.0,Cronos,CRO,cronos,0xc9fde867a14376829ab759f4c4871f67e2d3e441
0,17912,9454,Musk Gold,MUSK,musk-gold,1,2022-02-07T09:47:00.000Z,2023-06-26T12:27:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x6069c9223e8a5da1ec49ac5525d4bb757af72cd8
0,17914,4083,Nexum,NEXM,nexum,1,2022-02-07T09:47:00.000Z,2023-06-26T12:27:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xe831F96A7a1DcE1aa2EB760b1e296c6A74CaA9d5
0,17916,5615,Vulture Peak,VPK,vulture-peak,1,2022-02-16T13:47:00.000Z,2023-06-26T12:27:00.000Z,,1839.0,BNB,BNB,bnb,0x37Ac5F3bfd18a164Fc6cF0f0f0ECD334D9179d57
0,17917,388,RSS3,RSS3,rss3,1,2022-02-13T16:05:00.000Z,2023-06-26T12:25:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xc98d64da73a6616c42117b582e832812e7b8d57f
0,17919,5176,MetaRuffy,MR,meta-ruffy,1,2022-02-07T13:42:00.000Z,2023-06-26T12:27:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xa4Cb3ef5f41a4D89D6FCed22ea8a1C57957629Aa
0,17920,4590,Idle Ninja Online,NINKY,idle-ninja-online,1,2022-02-07T11:06:00.000Z,2023-06-26T12:26:00.000Z,,1839.0,BNB,BNB,bnb,0x90422d35496e8ed3391971dbec894e4a8057081f
0,17926,9455,EarthByt,EBYT,earthbyt,1,2022-02-07T12:02:00.000Z,2023-06-26T12:27:00.000Z,,1839.0,BNB,BNB,bnb,0x0D1AfEcE252fF513C5D210AEAE88f6C7D37e6ab2
0,17934,7629,MinerJoe,GOLD,minerjoe-gold,1,2022-02-07T17:35:00.000Z,2023-06-26T12:25:00.000Z,,5805.0,Avalanche,AVAX,avalanche,0x2D052048Fe7e4f59277E5E5ED5D21d35419Fe747
0,17939,9456,ZEUS10000 (NEW),ZEUS,zeus10000-new,1,2022-02-07T20:14:00.000Z,2023-06-26T12:29:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xcbc1aa6961b28cccb11e1cddd84ad8b42ec920b1
0,17941,7327,Magik Finance,MAGIK,magik-finance,1,2022-02-08T02:35:00.000Z,2023-06-26T12:25:00.000Z,,3513.0,Fantom,FTM,fantom,0x87a5c9b60a3aaf1064006fe64285018e50e0d020
0,17945,7451,Restore Truth Token,RTT,restoretruthtoken,1,2022-02-08T07:36:00.000Z,2023-06-26T12:26:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x8f046a2457a8f1618cae4706fa57bf790e2532a6
0,17954,5695,Based Finance,BASED,based-finance,1,2022-02-08T08:11:00.000Z,2023-06-26T12:26:00.000Z,,3513.0,Fantom,FTM,fantom,0x8D7d3409881b51466B483B11Ea1B8A03cdEd89ae
0,17955,5312,Colizeum,ZEUM,colizeum,1,2022-05-05T11:22:00.000Z,2023-06-26T12:27:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x436dA116249044E8B4464F0Cf21Dd93311d88190
0,17960,6314,ORIGYN Foundation,OGY,origyn-foundation,1,2022-06-16T16:00:00.000Z,2023-06-26T12:25:00.000Z,,,,,,
0,17969,5734,Heroes of NFT,HON,heroes-of-nft,1,2022-02-09T06:50:00.000Z,2023-06-26T12:25:00.000Z,,5805.0,Avalanche,AVAX,avalanche,0xEd2b42D3C9c6E97e11755BB37df29B6375ede3EB
0,17971,3272,PLC Ultima Classic,PLCUC,plc-ultima,1,2022-02-09T06:59:00.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,17972,3569,Rubix,RBT,rubix,1,2022-02-09T07:05:00.000Z,2023-06-26T12:25:00.000Z,,,,,,
0,17974,3852,Byepix,EPIX,byepix,1,2022-11-10T17:12:00.000Z,2023-06-26T12:27:00.000Z,,1839.0,BNB,BNB,bnb,0x90E1f81b298f6c180cE6f71a6BDB4ACf41Be8E01
